Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Escolano F., Suau P., Bonev B.",Information theory in computer vision and pattern recognition,2009,Information Theory in Computer Vision and Pattern Recognition,,,,1,364,,7,10.1007/978-1-84882-297-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892850693&doi=10.1007%2f978-1-84882-297-9&partnerID=40&md5=d6072502df450909c42630a52a69db6f,"Universidad Alicante, Depto. Ciencia de la Computación e Inteligencia Artificial, Campus de San Vicente, s/n, 03080 Alicante, Spain","Escolano, F., Universidad Alicante, Depto. Ciencia de la Computación e Inteligencia Artificial, Campus de San Vicente, s/n, 03080 Alicante, Spain; Suau, P., Universidad Alicante, Depto. Ciencia de la Computación e Inteligencia Artificial, Campus de San Vicente, s/n, 03080 Alicante, Spain; Bonev, B., Universidad Alicante, Depto. Ciencia de la Computación e Inteligencia Artificial, Campus de San Vicente, s/n, 03080 Alicante, Spain",Book,Scopus,2-s2.0-84892850693
"Femiani J.C., Razdan A.",Interval HSV: Extracting ink annotations,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206554,2520,2527,,3,10.1109/CVPRW.2009.5206554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450245509&doi=10.1109%2fCVPRW.2009.5206554&partnerID=40&md5=4dbc46ced88cc6ba989844ab1d64db0a,"Arizona State University, Polytechnic Campus, 7001 E. Williams Field Rd., Mesa, AZ 85212, United States","Femiani, J.C., Arizona State University, Polytechnic Campus, 7001 E. Williams Field Rd., Mesa, AZ 85212, United States; Razdan, A., Arizona State University, Polytechnic Campus, 7001 E. Williams Field Rd., Mesa, AZ 85212, United States",Conference Paper,Scopus,2-s2.0-70450245509
"Mehran R., Oyama A., Shah M.",Abnormal crowd behavior detection using social force model,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206641,935,942,,536,10.1109/CVPRW.2009.5206641,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450255364&doi=10.1109%2fCVPRW.2009.5206641&partnerID=40&md5=c8e7ad37f1d739127d03fc8559b1fa37,"Computer Vision Lab, University of Central Florida, United States; University of Nevada, Reno, United States","Mehran, R., Computer Vision Lab, University of Central Florida, United States; Oyama, A., University of Nevada, Reno, United States; Shah, M., Computer Vision Lab, University of Central Florida, United States",Conference Paper,Scopus,2-s2.0-70450255364
[No author name available],"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,,,,3018,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450286325&partnerID=40&md5=630aa020d26ef7f15116fa0dd8d260bd,,,Conference Review,Scopus,2-s2.0-70450286325
"Kong H., Audibert J.-Y., Ponce J.",Vanishing point detection for road detection,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206787,96,103,,119,10.1109/CVPRW.2009.5206787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450253468&doi=10.1109%2fCVPRW.2009.5206787&partnerID=40&md5=ece41fe5e4d32a2ea6ba1eb0e67ee968,"Imagine, LIGM, Université Paris-Est, Paris, France; WILLOW Project-team, Laboratoire D'Informatique, L'École Normale Supérieure, France; Ecole Normale Supérieure, Paris, France","Kong, H., Ecole Normale Supérieure, Paris, France; Audibert, J.-Y., Imagine, LIGM, Université Paris-Est, Paris, France; Ponce, J., WILLOW Project-team, Laboratoire D'Informatique, L'École Normale Supérieure, France",Conference Paper,Scopus,2-s2.0-70450253468
"Fu Z., Robles-Kelly A.",An instance selection approach to multiple instance learning,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206655,911,918,,15,10.1109/CVPRW.2009.5206655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450284668&doi=10.1109%2fCVPRW.2009.5206655&partnerID=40&md5=b3c8f21adeee7466243bb20c888be46d,"National ICT Australia, Locked Bag 8001, Canberra, ACT 2601, Australia; RSISE, Australian National University, Canberra, ACT 0200, Australia; Gippsland School of IT, Monash University, Churchill, VIC 3842, Australia","Fu, Z., Gippsland School of IT, Monash University, Churchill, VIC 3842, Australia; Robles-Kelly, A., National ICT Australia, Locked Bag 8001, Canberra, ACT 2601, Australia, RSISE, Australian National University, Canberra, ACT 0200, Australia",Conference Paper,Scopus,2-s2.0-70450284668
"Agrawal A., Xu Y.",Coded exposure deblurring: optimized codes for PSF estimation and invertibility,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206685,2066,2073,,53,10.1109/CVPRW.2009.5206685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450267726&doi=10.1109%2fCVPRW.2009.5206685&partnerID=40&md5=575ed4081a757745b2bda212478a57ea,"Mitsubishi Electric Research Labs (MERL), 201 Broadway, Cambridge, MA, United States","Agrawal, A., Mitsubishi Electric Research Labs (MERL), 201 Broadway, Cambridge, MA, United States; Xu, Y., Mitsubishi Electric Research Labs (MERL), 201 Broadway, Cambridge, MA, United States",Conference Paper,Scopus,2-s2.0-70450267726
"Guo D., Sim T.",Digital face makeup by example,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206833,73,79,,54,10.1109/CVPRW.2009.5206833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450279051&doi=10.1109%2fCVPRW.2009.5206833&partnerID=40&md5=9cf9d3870b668d3b81cfad9776bbf60e,"School of Computing, National University of Singapore, SGP, 117417, Singapore","Guo, D., School of Computing, National University of Singapore, SGP, 117417, Singapore; Sim, T., School of Computing, National University of Singapore, SGP, 117417, Singapore",Conference Paper,Scopus,2-s2.0-70450279051
"Li Z., Liu J., Tang X.",Constrained clustering via spectral regularization,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206852,421,428,,32,10.1109/CVPRW.2009.5206852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450267700&doi=10.1109%2fCVPRW.2009.5206852&partnerID=40&md5=527889be9bd08238e9d00e0f117b53f6,"Dept. of Information Engineering, Chinese University of Hong Kong, Hong Kong; Multimedia Lab., Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China","Li, Z., Dept. of Information Engineering, Chinese University of Hong Kong, Hong Kong, Multimedia Lab., Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China; Liu, J., Dept. of Information Engineering, Chinese University of Hong Kong, Hong Kong, Multimedia Lab., Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China; Tang, X., Dept. of Information Engineering, Chinese University of Hong Kong, Hong Kong, Multimedia Lab., Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China",Conference Paper,Scopus,2-s2.0-70450267700
"Kwon J., Lee K.M., Park F.C.",Visual tracking via geometric particle filtering on the affine group with optimal importance functions,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206501,991,998,,65,10.1109/CVPRW.2009.5206501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450179996&doi=10.1109%2fCVPRW.2009.5206501&partnerID=40&md5=3a69247592ec75e4883f4bd7f8b3b29e,"Department of EECS, ASRI Seoul National University, Seoul 151-742, South Korea; School of MAE, Seoul National University, Seoul 151-742, South Korea","Kwon, J., Department of EECS, ASRI Seoul National University, Seoul 151-742, South Korea; Lee, K.M., Department of EECS, ASRI Seoul National University, Seoul 151-742, South Korea; Park, F.C., School of MAE, Seoul National University, Seoul 151-742, South Korea",Conference Paper,Scopus,2-s2.0-70450179996
"Poullis C., You S.",Automatic reconstruction of cities from remote sensor data,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206562,2775,2782,,43,10.1109/CVPRW.2009.5206562,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450206516&doi=10.1109%2fCVPRW.2009.5206562&partnerID=40&md5=c3cd807b090fa58f8adb448563763eb9,"University of Southern California, CGIT, IMSC, United States","Poullis, C., University of Southern California, CGIT, IMSC, United States; You, S., University of Southern California, CGIT, IMSC, United States",Conference Paper,Scopus,2-s2.0-70450206516
"Cobzas D., Schmidt M.",Increased discrimination in level set methods with embedded conditional random fields,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206812,328,335,,12,10.1109/CVPRW.2009.5206812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450178477&doi=10.1109%2fCVPRW.2009.5206812&partnerID=40&md5=3e5287cdad01370a469d9fcf12412a06,"Department of Computer Science, University of British Columbia, Canada; Department of Computing Science, University of Alberta, Canada","Cobzas, D., Department of Computing Science, University of Alberta, Canada; Schmidt, M., Department of Computer Science, University of British Columbia, Canada",Conference Paper,Scopus,2-s2.0-70450178477
"Sundaramoorthi G., Petersen P., Varadarajan V.S., Soatto S.",On the set of images modulo viewpoint and contrast changes,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206704,832,839,,16,10.1109/CVPRW.2009.5206704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450199875&doi=10.1109%2fCVPRW.2009.5206704&partnerID=40&md5=db1883a0364578696db97cf7e65a1260,"University of California, LA, United States","Sundaramoorthi, G., University of California, LA, United States; Petersen, P., University of California, LA, United States; Varadarajan, V.S., University of California, LA, United States; Soatto, S., University of California, LA, United States",Conference Paper,Scopus,2-s2.0-70450199875
"Bai X., Li Q., Latecki L.J., Liu W., Tu Z.",Shape band: A deformable object detection approach,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206543,1335,1342,,21,10.1109/CVPRW.2009.5206543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450192878&doi=10.1109%2fCVPRW.2009.5206543&partnerID=40&md5=b5d6ecf88372198565f702de0757b26f,"Dept. of Electronics and Info. Eng., Huazhong Univ. of Science and Technology, China; Dept. of Computer and Information Sciences, Temple University, United States; Dept. of Neurology, University of California, Los Angeles, United States","Bai, X., Dept. of Electronics and Info. Eng., Huazhong Univ. of Science and Technology, China; Li, Q., Dept. of Electronics and Info. Eng., Huazhong Univ. of Science and Technology, China; Latecki, L.J., Dept. of Computer and Information Sciences, Temple University, United States; Liu, W., Dept. of Electronics and Info. Eng., Huazhong Univ. of Science and Technology, China; Tu, Z., Dept. of Neurology, University of California, Los Angeles, United States",Conference Paper,Scopus,2-s2.0-70450192878
"Geiger A., Urtasun R., Darrell T.",Rank priors for continuous non-linear dimensionality reduction,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206672,880,887,,21,10.1109/CVPRW.2009.5206672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450208076&doi=10.1109%2fCVPRW.2009.5206672&partnerID=40&md5=81b1ed7966dd4d4e3d8caefb8ff1bd24,"Department of Measurement and Control, Karlsruhe Institute of Technology, Germany; Massachusetts Institute of Technology, EECS/ICSI, CSAIL, UC Berkeley, United States","Geiger, A., Department of Measurement and Control, Karlsruhe Institute of Technology, Germany; Urtasun, R., Massachusetts Institute of Technology, EECS/ICSI, CSAIL, UC Berkeley, United States; Darrell, T., Massachusetts Institute of Technology, EECS/ICSI, CSAIL, UC Berkeley, United States",Conference Paper,Scopus,2-s2.0-70450208076
"Rabaud V., Belongie S.",Linear embeddings in Non-Rigid structure from motion,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206628,2427,2434,,17,10.1109/CVPRW.2009.5206628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450186991&doi=10.1109%2fCVPRW.2009.5206628&partnerID=40&md5=e34bdee906e59c0e3e49204379410441,"Department of Computer Science and Engineering, University of California, San Diego, United States","Rabaud, V., Department of Computer Science and Engineering, University of California, San Diego, United States; Belongie, S., Department of Computer Science and Engineering, University of California, San Diego, United States",Conference Paper,Scopus,2-s2.0-70450186991
"De Decker B., Kautz J., Mertens T., Bekaert P.",Capturing multiple illumination conditions using time and color multiplexing,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206752,2536,2543,,15,10.1109/CVPRW.2009.5206752,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450176689&doi=10.1109%2fCVPRW.2009.5206752&partnerID=40&md5=ba638f6954470b3887fb5479b4ef7ffc,"Hasselt University, Expertise Centre for Digital Media, Limburg, Belgium; University College, London, United Kingdom","De Decker, B., Hasselt University, Expertise Centre for Digital Media, Limburg, Belgium; Kautz, J., University College, London, United Kingdom; Mertens, T., Hasselt University, Expertise Centre for Digital Media, Limburg, Belgium; Bekaert, P., Hasselt University, Expertise Centre for Digital Media, Limburg, Belgium",Conference Paper,Scopus,2-s2.0-70450176689
"Mahadevan V., Vasconcelos N.",Saliency-based discriminant tracking,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206573,1007,1013,,77,10.1109/CVPRW.2009.5206573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450202650&doi=10.1109%2fCVPRW.2009.5206573&partnerID=40&md5=49fe5a321cd2975723615ff605353698,"Department of Electrical and Computer Engineering, University of California, San Diego, United States","Mahadevan, V., Department of Electrical and Computer Engineering, University of California, San Diego, United States; Vasconcelos, N., Department of Electrical and Computer Engineering, University of California, San Diego, United States",Conference Paper,Scopus,2-s2.0-70450202650
"Zhong W., Qifa K., Isard M., Jian S.",Bundling features for large scale partial-duplicate web image search,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206566,25,32,,199,10.1109/CVPRW.2009.5206566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450164332&doi=10.1109%2fCVPRW.2009.5206566&partnerID=40&md5=d73b03283b5ec7e2ded144078bb0d910,"Microsoft Research; Tsinghua University, Beijing, China","Zhong, W., Tsinghua University, Beijing, China; Qifa, K., Microsoft Research; Isard, M., Microsoft Research; Jian, S., Microsoft Research",Conference Paper,Scopus,2-s2.0-70450164332
"Dai S., Wu Y.",Removing partial blur in a single image,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206625,2544,2551,,21,10.1109/CVPRW.2009.5206625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450179757&doi=10.1109%2fCVPRW.2009.5206625&partnerID=40&md5=83b15fdc762ba0d13ed1d63c645acaac,"EECS Department, Northwestern University, Evanston, IL 60208, United States","Dai, S., EECS Department, Northwestern University, Evanston, IL 60208, United States; Wu, Y., EECS Department, Northwestern University, Evanston, IL 60208, United States",Conference Paper,Scopus,2-s2.0-70450179757
"Wang L., Zhang H., Wong K.C.L., Liu H., Shi P.",Noninvasive volumetric imaging of cardiac electrophysiology,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206717,2176,2183,,6,10.1109/CVPRW.2009.5206717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450203790&doi=10.1109%2fCVPRW.2009.5206717&partnerID=40&md5=2efebfe12426177f3e11cb3402dc332c,"Computational Biomedicine Laboratory, Rochester, NY, United States; University of Auckland, Bioengineering Instiute, Auckland, Australia; State Key Laboratory of Modern Optical Instrumentation, Zhejiang University, Zhejiang, China","Wang, L., Computational Biomedicine Laboratory, Rochester, NY, United States; Zhang, H., University of Auckland, Bioengineering Instiute, Auckland, Australia; Wong, K.C.L., Computational Biomedicine Laboratory, Rochester, NY, United States; Liu, H., State Key Laboratory of Modern Optical Instrumentation, Zhejiang University, Zhejiang, China; Shi, P., Computational Biomedicine Laboratory, Rochester, NY, United States",Conference Paper,Scopus,2-s2.0-70450203790
"Wang Y., Chen Y., Liu J., Tang X.",3D reconstruction of curved objects from single 2D line drawings,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206841,1834,1841,,16,10.1109/CVPRW.2009.5206841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450170633&doi=10.1109%2fCVPRW.2009.5206841&partnerID=40&md5=01dc1f3a1a15a1e602d4a881752de130,"Department of Information Engineering, Chinese University, Hong Kong, Hong Kong; Department of Engineering University, University of Cambridge, United Kingdom","Wang, Y., Department of Information Engineering, Chinese University, Hong Kong, Hong Kong; Chen, Y., Department of Engineering University, University of Cambridge, United Kingdom; Liu, J., Department of Information Engineering, Chinese University, Hong Kong, Hong Kong; Tang, X., Department of Information Engineering, Chinese University, Hong Kong, Hong Kong",Conference Paper,Scopus,2-s2.0-70450170633
"Kumar R., Wang F., Beymer D., Syeda-Mahmood T.",Echocardiogram view classification using edge filtered scale-invariant motion features,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206838,723,730,,20,10.1109/CVPRW.2009.5206838,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450174317&doi=10.1109%2fCVPRW.2009.5206838&partnerID=40&md5=876089cc5de296e917db28ed1c6cb4a7,"Department of Computer and Information Science and Engineering, University of Florida, FL, United States; IBM Almaden Research Center, San Jose, CA, United States","Kumar, R., Department of Computer and Information Science and Engineering, University of Florida, FL, United States; Wang, F., IBM Almaden Research Center, San Jose, CA, United States; Beymer, D., IBM Almaden Research Center, San Jose, CA, United States; Syeda-Mahmood, T., IBM Almaden Research Center, San Jose, CA, United States",Conference Paper,Scopus,2-s2.0-70450174317
"Liu F., Gleicher M.",Learning color and locality cues for moving object detection and segmentation,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206857,320,327,,30,10.1109/CVPRW.2009.5206857,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450193553&doi=10.1109%2fCVPRW.2009.5206857&partnerID=40&md5=25c76f65f907b6d312d07a29d03818b0,"Department of Computer Sciences, University of Wisconsin, 1210 West Dayton Street, Madison, WI, 53706, United States","Liu, F., Department of Computer Sciences, University of Wisconsin, 1210 West Dayton Street, Madison, WI, 53706, United States; Gleicher, M., Department of Computer Sciences, University of Wisconsin, 1210 West Dayton Street, Madison, WI, 53706, United States",Conference Paper,Scopus,2-s2.0-70450193553
"Si Z., Gong H., Wu Y.N., Zhu S.-C.",Learning mixed templates for object recognition,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206770,272,279,,18,10.1109/CVPRW.2009.5206770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450196800&doi=10.1109%2fCVPRW.2009.5206770&partnerID=40&md5=a343b4d3330585e89540a05be3fc176f,"Department of Statistics, UCLA, United States; Lotus Hill Research Institute, China","Si, Z., Department of Statistics, UCLA, United States; Gong, H., Department of Statistics, UCLA, United States, Lotus Hill Research Institute, China; Wu, Y.N., Department of Statistics, UCLA, United States; Zhu, S.-C., Department of Statistics, UCLA, United States, Lotus Hill Research Institute, China",Conference Paper,Scopus,2-s2.0-70450196800
"Vijayanarasimhan S., Grauman K.",What's it going to cost you?: Predicting effort vs. informativeness for multi-label image annotations,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206705,2262,2269,,66,10.1109/CVPRW.2009.5206705,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450197013&doi=10.1109%2fCVPRW.2009.5206705&partnerID=40&md5=1bf1593ac5962f9e6505aa8fe5733197,"Department of Computer Sciences, University of Texas, Austin, United States","Vijayanarasimhan, S., Department of Computer Sciences, University of Texas, Austin, United States; Grauman, K., Department of Computer Sciences, University of Texas, Austin, United States",Conference Paper,Scopus,2-s2.0-70450197013
"Winder S., Hua G., Brown M.",Picking the best DAISY,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206839,178,185,,171,10.1109/CVPRW.2009.5206839,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450208928&doi=10.1109%2fCVPRW.2009.5206839&partnerID=40&md5=5d703d6f435eecdd9d95422aba01665e,"Microsoft Live Labs, United States; University of British Columbia, Canada; Microsoft Research","Winder, S., Microsoft Research; Hua, G., Microsoft Live Labs, United States; Brown, M., University of British Columbia, Canada",Conference Paper,Scopus,2-s2.0-70450208928
"Lampert C.H., Nickisch H., Harmeling S.",Learning to detect unseen object classes by between-class attribute transfer,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206594,951,958,,332,10.1109/CVPRW.2009.5206594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450172710&doi=10.1109%2fCVPRW.2009.5206594&partnerID=40&md5=d1d78c986d3e78af44ef5926ba77218d,"Max Planck Institute for Biological Cybernetics, Tübingen, Germany","Lampert, C.H., Max Planck Institute for Biological Cybernetics, Tübingen, Germany; Nickisch, H., Max Planck Institute for Biological Cybernetics, Tübingen, Germany; Harmeling, S., Max Planck Institute for Biological Cybernetics, Tübingen, Germany",Conference Paper,Scopus,2-s2.0-70450172710
"Wu D., Bi J., Boyer K.",A min-max framework of cascaded classifier with multiple instance learning for computer aided diagnosis,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206778,1359,1366,,9,10.1109/CVPRW.2009.5206778,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450203680&doi=10.1109%2fCVPRW.2009.5206778&partnerID=40&md5=1396f017aba6b413a4b98fad4b4abe3b,"Rensselaer Polytechnic Institute, Troy, NY 12180, United States; Siemens Medical Solutions, Malvern, PA 19355, United States","Wu, D., Rensselaer Polytechnic Institute, Troy, NY 12180, United States; Bi, J., Siemens Medical Solutions, Malvern, PA 19355, United States; Boyer, K., Rensselaer Polytechnic Institute, Troy, NY 12180, United States",Conference Paper,Scopus,2-s2.0-70450203680
"Shen T., Li H., Qian Z., Huang X.",Active volume models for 3D medical image segmentation,2009,"2009 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2009",,,5206563,707,714,,15,10.1109/CVPRW.2009.5206563,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450206517&doi=10.1109%2fCVPRW.2009.5206563&partnerID=40&md5=c757735917571ab4a7de199efffdd1f5,"Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA 18015, United States; Piedmont Heart Institute, Piedmont Healthcare, Atlanta, GA 30309, United States","Shen, T., Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA 18015, United States; Li, H., Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA 18015, United States; Qian, Z., Piedmont Heart Institute, Piedmont Healthcare, Atlanta, GA 30309, United States; Huang, X., Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA 18015, United States",Conference Paper,Scopus,2-s2.0-70450206517
