Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Zitnick C.L., Parikh D.",The role of image understanding in contour detection,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247729,622,629,,8,10.1109/CVPR.2012.6247729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867129630&doi=10.1109%2fCVPR.2012.6247729&partnerID=40&md5=fa59aea6193b4504fa64e59cc5020eca,"Microsoft Research, Redmond, United States; Toyota Technological Institute, Chicago (TTIC), United States","Zitnick, C.L., Microsoft Research, Redmond, United States; Parikh, D., Toyota Technological Institute, Chicago (TTIC), United States",Conference Paper,Scopus,2-s2.0-84867129630
"Alahi A., Ortiz R., Vandergheynst P.",FREAK: Fast retina keypoint,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247715,510,517,,431,10.1109/CVPR.2012.6247715,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867132238&doi=10.1109%2fCVPR.2012.6247715&partnerID=40&md5=a4c6b9cd2e513ed922bccac512bd1d9a,"Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland","Alahi, A., Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Ortiz, R., Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Vandergheynst, P., Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland",Conference Paper,Scopus,2-s2.0-84867132238
"Bai J., Song Q., Veksler O., Wu X.",Fast dynamic programming for labeling problems with ordering constraints,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247868,1728,1735,,1,10.1109/CVPR.2012.6247868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866644735&doi=10.1109%2fCVPR.2012.6247868&partnerID=40&md5=5f261f61ee69552911a2c82279caa354,"Department of Electrical and Computer Engineering, University of Iowa, United States; Computer Science Department, University of Western Ontario, Canada","Bai, J., Department of Electrical and Computer Engineering, University of Iowa, United States; Song, Q., Department of Electrical and Computer Engineering, University of Iowa, United States; Veksler, O., Computer Science Department, University of Western Ontario, Canada; Wu, X., Department of Electrical and Computer Engineering, University of Iowa, United States",Conference Paper,Scopus,2-s2.0-84866644735
"Liu X.-M., Wang C., Yao H., Zhang L.",The scale of edges,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247709,462,469,,5,10.1109/CVPR.2012.6247709,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866719403&doi=10.1109%2fCVPR.2012.6247709&partnerID=40&md5=b22b72716b4f5be4904c31173b85664c,"School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Microsoft Research Asia, Beijing, China","Liu, X.-M., School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Wang, C., Microsoft Research Asia, Beijing, China; Yao, H., School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Zhang, L., Microsoft Research Asia, Beijing, China",Conference Paper,Scopus,2-s2.0-84866719403
"Yang J., Wang Z., Lin Z., Shu X., Huang T.",Bilevel sparse coding for coupled feature spaces,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247948,2360,2367,,26,10.1109/CVPR.2012.6247948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866658673&doi=10.1109%2fCVPR.2012.6247948&partnerID=40&md5=89078c08f60dd0c41a4bf3da47d2bdf0,"Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, United States; Adobe Systems Inc., San Jose, CA, United States","Yang, J., Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, United States; Wang, Z., Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, United States; Lin, Z., Adobe Systems Inc., San Jose, CA, United States; Shu, X., Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, United States; Huang, T., Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, United States",Conference Paper,Scopus,2-s2.0-84866658673
"Kemelmacher-Shlizerman I., Seitz S.M.",Collection flow,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247876,1792,1799,,12,10.1109/CVPR.2012.6247876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866672749&doi=10.1109%2fCVPR.2012.6247876&partnerID=40&md5=0330cf8e31c762a9489dd22e17de5871,"University of Washington, Google Inc, United States","Kemelmacher-Shlizerman, I., University of Washington, Google Inc, United States; Seitz, S.M., University of Washington, Google Inc, United States",Conference Paper,Scopus,2-s2.0-84866672749
"Saito M., Okatani T., Deguchi K.",Application of the mean field methods to MRF optimization in computer vision,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247862,1680,1687,,2,10.1109/CVPR.2012.6247862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866720478&doi=10.1109%2fCVPR.2012.6247862&partnerID=40&md5=c6a998624eae72ad2bebf0775c1e2a87,"Tohoku University, Japan","Saito, M., Tohoku University, Japan; Okatani, T., Tohoku University, Japan; Deguchi, K., Tohoku University, Japan",Conference Paper,Scopus,2-s2.0-84866720478
"Tapaswi M., Bauml M., Stiefelhagen R.",Knock! Knock! Who is it? probabilistic person identification in TV-series,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247986,2658,2665,,22,10.1109/CVPR.2012.6247986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866659479&doi=10.1109%2fCVPR.2012.6247986&partnerID=40&md5=24403c1643da92ae62414c34d81ccf48,"Karlsruhe Institute of Technology, 76131 Karlsruhe, Germany","Tapaswi, M., Karlsruhe Institute of Technology, 76131 Karlsruhe, Germany; Bauml, M., Karlsruhe Institute of Technology, 76131 Karlsruhe, Germany; Stiefelhagen, R., Karlsruhe Institute of Technology, 76131 Karlsruhe, Germany",Conference Paper,Scopus,2-s2.0-84866659479
"Baltrusaitis T., Robinson P., Morency L.-P.",3D Constrained Local Model for rigid and non-rigid facial tracking,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247980,2610,2617,,66,10.1109/CVPR.2012.6247980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866686647&doi=10.1109%2fCVPR.2012.6247980&partnerID=40&md5=51b6de37c08ec64771adbde02d9565a9,"University of Cambridge Computer Laboratory, 15 JJ Thomson Avenue, United Kingdom; USC Institute for Creative Technologies, 12015 Waterfront Drive, United States","Baltrusaitis, T., University of Cambridge Computer Laboratory, 15 JJ Thomson Avenue, United Kingdom; Robinson, P., University of Cambridge Computer Laboratory, 15 JJ Thomson Avenue, United Kingdom; Morency, L.-P., USC Institute for Creative Technologies, 12015 Waterfront Drive, United States",Conference Paper,Scopus,2-s2.0-84866686647
"Lan T., Sigal L., Mori G.",Social roles in hierarchical models for human activity recognition,2012,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,6247821,1354,1361,,30,10.1109/CVPR.2012.6247821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866726795&doi=10.1109%2fCVPR.2012.6247821&partnerID=40&md5=c1f5e638cf91a852b2e21e26f2359913,"Simon Fraser University, Burnaby, Canada; Disney Research Pittsburgh, United States","Lan, T., Simon Fraser University, Burnaby, Canada; Sigal, L., Disney Research Pittsburgh, United States; Mori, G., Simon Fraser University, Burnaby, Canada",Conference Paper,Scopus,2-s2.0-84866726795
