Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Du Fenglei, Brady Michael",Self-calibration of the intrinsic parameters of cameras for active vision systems,1993,IEEE Computer Vision and Pattern Recognition,,,,477,482,,65,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027802652&partnerID=40&md5=b28ca0f9ca8808b23e6680ead2657c1c,"Oxford Univ, Oxford, United Kingdom","Du, Fenglei, Oxford Univ, Oxford, United Kingdom; Brady, Michael, Oxford Univ, Oxford, United Kingdom",Conference Paper,Scopus,2-s2.0-0027802652
"Prokopowicz P.N., Cooper P.R.",Dynamic retina: contrast and motion detection for active vision,1993,IEEE Computer Vision and Pattern Recognition,,,,728,729,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027804421&partnerID=40&md5=9af020857c31fd9b97b522f32949934d,"Northwestern Univ, Evanston, United States","Prokopowicz, P.N., Northwestern Univ, Evanston, United States; Cooper, P.R., Northwestern Univ, Evanston, United States",Conference Paper,Scopus,2-s2.0-0027804421
"Luong Q.T., Faugeras O.D.",Determining the Fundamental matrix with planes: instability and new algorithms,1993,IEEE Computer Vision and Pattern Recognition,,,,489,494,,21,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027802653&partnerID=40&md5=c6a16b5a85932f5a53bb6d5e1b99e7e7,"I.N.R.I.A. Sophia-Antipolis, Sophia-Antipolis, France","Luong, Q.T., I.N.R.I.A. Sophia-Antipolis, Sophia-Antipolis, France; Faugeras, O.D., I.N.R.I.A. Sophia-Antipolis, Sophia-Antipolis, France",Conference Paper,Scopus,2-s2.0-0027802653
"Sarachik K.B., Grimson W.E.L.",Gaussian error models for object recognition,1993,IEEE Computer Vision and Pattern Recognition,,,,400,406,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027842518&partnerID=40&md5=8e79e92a4bb9659040adbfa476e24e8c,"M.I.T. Artificial Intelligence Lab, Cambridge, United States","Sarachik, K.B., M.I.T. Artificial Intelligence Lab, Cambridge, United States; Grimson, W.E.L., M.I.T. Artificial Intelligence Lab, Cambridge, United States",Conference Paper,Scopus,2-s2.0-0027842518
"Pathak Anjali, Camps Octavia I.",Bayesian view class determination,1993,IEEE Computer Vision and Pattern Recognition,,,,407,412,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027885469&partnerID=40&md5=3b88f6cc44d68cfc13ad3717e6bb0c5f,"Pennsylvania State Univ, University Park, United States","Pathak, Anjali, Pennsylvania State Univ, University Park, United States; Camps, Octavia I., Pennsylvania State Univ, University Park, United States",Conference Paper,Scopus,2-s2.0-0027885469
"Yacoob Yaser, Davis Larry",Labeling of human face components from range data,1993,IEEE Computer Vision and Pattern Recognition,,,,592,293,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027806829&partnerID=40&md5=7bb97cfa316c53180c852847e6456916,"Univ of Maryland, College Park, United States","Yacoob, Yaser, Univ of Maryland, College Park, United States; Davis, Larry, Univ of Maryland, College Park, United States",Conference Paper,Scopus,2-s2.0-0027806829
"LaValle Steven M., Hutchinson Seth A.",Bayesian region merging probability for parametric image models,1993,IEEE Computer Vision and Pattern Recognition,,,,778,779,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027842536&partnerID=40&md5=1bb6d9987d3f15ad21b205160e2376b6,"Univ of Illinois, Urbana, United States","LaValle, Steven M., Univ of Illinois, Urbana, United States; Hutchinson, Seth A., Univ of Illinois, Urbana, United States",Conference Paper,Scopus,2-s2.0-0027842536
Ahuja Narendra,Transform for detection of multiscale image structure,1993,IEEE Computer Vision and Pattern Recognition,,,,780,781,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027885489&partnerID=40&md5=4e487b4631ef960f585c18912a9c0f66,"Univ of Illinois, Urbana, United States","Ahuja, Narendra, Univ of Illinois, Urbana, United States",Conference Paper,Scopus,2-s2.0-0027885489
"Collins Robert T., Beveridge J.Ross",Matching perspective views of coplanar structures using projective unwarping and similarity matching,1993,IEEE Computer Vision and Pattern Recognition,,,,240,245,,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027873210&partnerID=40&md5=1a158ab9eeb6d5f94f5c67170acdeb1f,"Univ of Massachusetts, Amherst, United States","Collins, Robert T., Univ of Massachusetts, Amherst, United States; Beveridge, J.Ross, Univ of Massachusetts, Amherst, United States",Conference Paper,Scopus,2-s2.0-0027873210
"Malik Jitendra, Rosenholtz Ruth",Differential method for computing local shape-from-texture for planar and curved surfaces,1993,IEEE Computer Vision and Pattern Recognition,,,,267,273,,22,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027840773&partnerID=40&md5=3a4a23f03cc75088dbfebe27032325cb,"Univ of California at Berkeley, Berkeley, United States","Malik, Jitendra, Univ of California at Berkeley, Berkeley, United States; Rosenholtz, Ruth, Univ of California at Berkeley, Berkeley, United States",Conference Paper,Scopus,2-s2.0-0027840773
"Orange Carol M., Groen Frans C.A.",Model based corner detection,1993,IEEE Computer Vision and Pattern Recognition,,,,690,691,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027836474&partnerID=40&md5=5cc26f6c6851dfbfd40049448c5a6e3a,"Technical Univ of Delft, Delft, Netherlands","Orange, Carol M., Technical Univ of Delft, Delft, Netherlands; Groen, Frans C.A., Technical Univ of Delft, Delft, Netherlands",Conference Paper,Scopus,2-s2.0-0027836474
Shah Jayant,Nonlinear diffusion model for discontinuous disparity and half-occlusions in stereo,1993,IEEE Computer Vision and Pattern Recognition,,,,34,40,,17,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027883315&partnerID=40&md5=9fd9cf0d2ddd51de2280dd87327a975e,"Northeastern Univ, Boston, United States","Shah, Jayant, Northeastern Univ, Boston, United States",Conference Paper,Scopus,2-s2.0-0027883315
"Navab Nassir, Faugeras Olivier",Monocular pose determination from lines: critical sets and maximum number of solutions,1993,IEEE Computer Vision and Pattern Recognition,,,,254,260,,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027805111&partnerID=40&md5=43ce27c3dd8c7cf1bfef3538d9de358c,"I.N.R.I.A., Sophia-Antipolis, France","Navab, Nassir, I.N.R.I.A., Sophia-Antipolis, France; Faugeras, Olivier, I.N.R.I.A., Sophia-Antipolis, France",Conference Paper,Scopus,2-s2.0-0027805111
"Xuening Sun, Spetsakis Minas E.",Comparison of weighted LS methods with LS methods in 3-D motion estimation from stereo image sequences,1993,IEEE Computer Vision and Pattern Recognition,,,,200,205,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027805714&partnerID=40&md5=fcfe1fcef80345d94e68ef2372116f4f,"York Univ, North York, Canada","Xuening, Sun, York Univ, North York, Canada; Spetsakis, Minas E., York Univ, North York, Canada",Conference Paper,Scopus,2-s2.0-0027805714
"Gupta Alok, Liang Cheng-Chung",3-D model-data correspondence and nonrigid deformation,1993,IEEE Computer Vision and Pattern Recognition,,,,756,757,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027837655&partnerID=40&md5=14101dcde3f840a6ccca0a191f2e59d8,"Siemens Corp Research Inc, Princeton, United States","Gupta, Alok, Siemens Corp Research Inc, Princeton, United States; Liang, Cheng-Chung, Siemens Corp Research Inc, Princeton, United States",Conference Paper,Scopus,2-s2.0-0027837655
"Matthies Larry, Grandjean Pierrick",Stochastic performance modeling and evaluation of obstacle detectability with imaging range sensors,1993,IEEE Computer Vision and Pattern Recognition,,,,657,658,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027806836&partnerID=40&md5=417940a6de428919bfa85e05ddee75bc,"Jet Propulsion Lab - California Inst, of Technology, Pasadena, United States","Matthies, Larry, Jet Propulsion Lab - California Inst, of Technology, Pasadena, United States; Grandjean, Pierrick, Jet Propulsion Lab - California Inst, of Technology, Pasadena, United States",Conference Paper,Scopus,2-s2.0-0027806836
"Suorsa Raymond E., Sridhar Banavar",Parallel implementation of a multisensor feature-based range-estimation method,1993,IEEE Computer Vision and Pattern Recognition,,,,379,385,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027804409&partnerID=40&md5=71e10ad2127af8aaa5f764b418a3f3c7,"NASA Ames Research Cent, Moffett Field, United States","Suorsa, Raymond E., NASA Ames Research Cent, Moffett Field, United States; Sridhar, Banavar, NASA Ames Research Cent, Moffett Field, United States",Conference Paper,Scopus,2-s2.0-0027804409
"Kriegman David J., Vijaykumar B., Ponce Jean",Reconstruction of HOT curves from image sequences,1993,IEEE Computer Vision and Pattern Recognition,,,,20,26,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027849248&partnerID=40&md5=f075b77688e9e87b18723e90640a09f2,"Yale Univ, New Haven, United States","Kriegman, David J., Yale Univ, New Haven, United States; Vijaykumar, B., Yale Univ, New Haven, United States; Ponce, Jean, Yale Univ, New Haven, United States",Conference Paper,Scopus,2-s2.0-0027849248
